state,year,private_establishments,private_employment,source_url
NH,2019,51110.0,580340.0,https://data.bls.gov/cew/data/api/2019/a/area/33000.csv
NH,2020,52709.0,542934.0,https://data.bls.gov/cew/data/api/2020/a/area/33000.csv
NH,2021,56083.0,567902.0,https://data.bls.gov/cew/data/api/2021/a/area/33000.csv
NH,2022,59864.0,589213.0,https://data.bls.gov/cew/data/api/2022/a/area/33000.csv
NH,2023,62555.0,600374.0,https://data.bls.gov/cew/data/api/2023/a/area/33000.csv
NH,2024,64226.0,604412.0,https://data.bls.gov/cew/data/api/2024/a/area/33000.csv
NJ,2017,259703.0,3435139.0,https://data.bls.gov/cew/data/api/2017/a/area/34000.csv
NJ,2018,263159.0,3472611.0,https://data.bls.gov/cew/data/api/2018/a/area/34000.csv
NJ,2019,271550.0,3510701.0,https://data.bls.gov/cew/data/api/2019/a/area/34000.csv
NJ,2020,277684.0,3205532.0,https://data.bls.gov/cew/data/api/2020/a/area/34000.csv
NJ,2021,291231.0,3384067.0,https://data.bls.gov/cew/data/api/2021/a/area/34000.csv
NJ,2022,307423.0,3581671.0,https://data.bls.gov/cew/data/api/2022/a/area/34000.csv
NJ,2023,313888.0,3648355.0,https://data.bls.gov/cew/data/api/2023/a/area/34000.csv
NJ,2024,320477.0,3678973.0,https://data.bls.gov/cew/data/api/2024/a/area/34000.csv
NM,2017,53995.0,633035.0,https://data.bls.gov/cew/data/api/2017/a/area/35000.csv
NM,2018,56219.0,645435.0,https://data.bls.gov/cew/data/api/2018/a/area/35000.csv
NM,2019,58802.0,658241.0,https://data.bls.gov/cew/data/api/2019/a/area/35000.csv
NM,2020,59515.0,609323.0,https://data.bls.gov/cew/data/api/2020/a/area/35000.csv
NM,2021,60595.0,627202.0,https://data.bls.gov/cew/data/api/2021/a/area/35000.csv
NM,2022,63668.0,660670.0,https://data.bls.gov/cew/data/api/2022/a/area/35000.csv
NM,2023,63375.0,678698.0,https://data.bls.gov/cew/data/api/2023/a/area/35000.csv
NM,2024,64556.0,686080.0,https://data.bls.gov/cew/data/api/2024/a/area/35000.csv
NV,2017,78292.0,1170769.0,https://data.bls.gov/cew/data/api/2017/a/area/32000.csv
NV,2018,79623.0,1216080.0,https://data.bls.gov/cew/data/api/2018/a/area/32000.csv
NV,2019,81288.0,1250092.0,https://data.bls.gov/cew/data/api/2019/a/area/32000.csv
NV,2020,85432.0,1111600.0,https://data.bls.gov/cew/data/api/2020/a/area/32000.csv
NV,2021,92648.0,1204467.0,https://data.bls.gov/cew/data/api/2021/a/area/32000.csv
NV,2022,103366.0,1315007.0,https://data.bls.gov/cew/data/api/2022/a/area/32000.csv
NV,2023,107259.0,1354689.0,https://data.bls.gov/cew/data/api/2023/a/area/32000.csv
NV,2024,106439.0,1377101.0,https://data.bls.gov/cew/data/api/2024/a/area/32000.csv
NY,2017,623308.0,7899798.0,https://data.bls.gov/cew/data/api/2017/a/area/36000.csv
NY,2018,622828.0,8017398.0,https://data.bls.gov/cew/data/api/2018/a/area/36000.csv
NY,2019,626961.0,8121568.0,https://data.bls.gov/cew/data/api/2019/a/area/36000.csv
NY,2020,635538.0,7207032.0,https://data.bls.gov/cew/data/api/2020/a/area/36000.csv
NY,2021,645433.0,7460879.0,https://data.bls.gov/cew/data/api/2021/a/area/36000.csv
NY,2022,669545.0,7908130.0,https://data.bls.gov/cew/data/api/2022/a/area/36000.csv
NY,2023,681708.0,8097039.0,https://data.bls.gov/cew/data/api/2023/a/area/36000.csv
NY,2024,691628.0,8303012.0,https://data.bls.gov/cew/data/api/2024/a/area/36000.csv
OH,2017,281633.0,4646773.0,https://data.bls.gov/cew/data/api/2017/a/area/39000.csv
OH,2018,283135.0,4687246.0,https://data.bls.gov/cew/data/api/2018/a/area/39000.csv
OH,2019,287351.0,4711316.0,https://data.bls.gov/cew/data/api/2019/a/area/39000.csv
OH,2020,290789.0,4418269.0,https://data.bls.gov/cew/data/api/2020/a/area/39000.csv
OH,2021,300640.0,4546542.0,https://data.bls.gov/cew/data/api/2021/a/area/39000.csv
OH,2022,313656.0,4684897.0,https://data.bls.gov/cew/data/api/2022/a/area/39000.csv
OH,2023,321911.0,4757108.0,https://data.bls.gov/cew/data/api/2023/a/area/39000.csv
OH,2024,328831.0,4784025.0,https://data.bls.gov/cew/data/api/2024/a/area/39000.csv
OK,2017,104615.0,1260205.0,https://data.bls.gov/cew/data/api/2017/a/area/40000.csv
OK,2018,104889.0,1285704.0,https://data.bls.gov/cew/data/api/2018/a/area/40000.csv
OK,2019,105815.0,1296418.0,https://data.bls.gov/cew/data/api/2019/a/area/40000.csv
OK,2020,106844.0,1230661.0,https://data.bls.gov/cew/data/api/2020/a/area/40000.csv
OK,2021,109957.0,1255233.0,https://data.bls.gov/cew/data/api/2021/a/area/40000.csv
OK,2022,117212.0,1304605.0,https://data.bls.gov/cew/data/api/2022/a/area/40000.csv
OK,2023,123651.0,1342938.0,https://data.bls.gov/cew/data/api/2023/a/area/40000.csv
OK,2024,123123.0,1355649.0,https://data.bls.gov/cew/data/api/2024/a/area/40000.csv
